player_name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,position_rank,overall_rank,player_id
Diontae Johnson,PIT,WR,27,13,11,0,0,0,0,0,0,87,51,717,5,1,0,0,0,1020,1527,43,0,JohnDi01
Will Levis,TEN,QB,24,9,9,1808,8,4,25,57,1,0,0,0,0,7,4,0,1,1020,1020,32,0,LeviWi00
Tyjae Spears,TEN,RB,22,17,1,0,0,0,100,453,2,70,52,385,1,1,0,0,0,1020,1538,39,0,SpeaTy00
Joe Flacco,CLE,QB,38,5,5,1616,13,8,9,2,0,0,0,0,0,4,1,0,1,1010,1008,33,0,FlacJo00
Darius Slayton,NYG,WR,26,17,13,0,0,0,0,0,0,79,50,770,4,0,0,0,0,1010,1510,44,0,SlayDa01
AJ Dillon,GNB,RB,25,15,6,0,0,0,178,613,2,28,22,223,0,0,0,0,0,960,1176,40,0,DillAJ00
Tee Higgins,CIN,WR,24,12,11,0,0,0,0,0,0,76,42,656,5,0,0,0,0,960,1376,45,0,HiggTe00
Curtis Samuel,WAS,WR,27,16,13,0,0,0,7,39,1,91,62,613,4,0,0,0,0,950,1572,46,0,SamuCu00
Tommy DeVito,NYG,QB,25,9,6,1101,8,3,36,195,1,0,0,0,0,2,1,0,0,940,935,34,0,DeViTo00
Khalil Herbert,CHI,RB,25,12,9,0,0,0,132,611,2,31,20,134,1,1,1,1,0,930,1125,41,0,HerbKh00
Christian Kirk,JAX,WR,27,12,12,-1,0,0,1,6,0,85,57,787,3,2,2,0,0,930,1503,47,0,KirkCh01
Josh Downs,IND,WR,22,17,9,0,0,0,0,0,0,98,68,771,2,0,0,0,0,890,1571,48,0,DownJo00
Josh Reynolds,DET,WR,28,17,13,0,0,0,0,0,0,64,40,608,5,1,1,0,0,890,1288,49,0,ReynJo00
